Depth,GearRegRank,TCEnd,total_biomass,grazers,scrapers,OSDS_Eff,Imperv,Sediment,RainMax3dS,WPow975pct,PAR,Nuts,CAT
12,5,7.3,9.75346092420532,15.17,4.84,193.543276814257,10507.4,24.7648945081541,4784.7,19.5,0.06677810775,5.3103672189407,3
13,5,31,9.91715685063012,13.18,2.81,406.286844483057,17954.3,50.5727199189444,9553.5,19.53,0.0709428515,3.01662062579967,1
15,5,41.4,9.29784921366227,8.36,16.52,389.471436693373,18422.8,50.2623119245424,10146.3,14.44,0.0709428515,2.88097205817759,1
12,5,22,NaN,24.66,NaN,383.468382008217,18415,49.8337235213264,10271.8,13.87,0.0709428515,2.84604989415154,2
14,5,4.4,8.83685464404615,5.89,8.05,340.099985298441,14980.2,38.9628027739279,8210.5,14.45,0.0709428515,2.5298221281347,3
15,5,3.4,8.01373820385967,12.11,4.29,302.775494384866,12423.9,29.9382698230876,6742.2,16.42,0.0709428515,2.25831795812724,3
10,5,8.5,10.988630487918,26.07,10.45,279.173781003876,11121.2,25.0239884910459,6041.5,19.12,0.0709428515,2.07364413533277,3
19,5,11.3,10.8064795377588,15.47,NaN,234.126034434447,12773.1,30.9305674050768,5741.6,13.74,0.06677810775,5.53172667437573,3
11,5,20.4,6.45832795698701,6.16,1.88,298.46607847459,15045.9,35.3454381780733,6586.2,10.23,0.06677810775,5.45893762558247,2
10,5,25.8,6.0613529842767,6.67,5.21,325.230687358988,15760.2,35.3355345226303,6942.4,9.66,0.06677810775,5.41294744108974,2
14,5,28.3,6.22896460095897,11.14,2.54,363.782902292013,16759.5,35.6623050292602,7519.1,12.51,0.06677810775,5.2820450584977,2
13,5,10.5,7.81152993977492,7.88,2.35,367.486054157161,16392.5,35.3171346516107,7389.6,14.27,0.06677810775,5.10881590977792,3
14,5,10,8.32045671823368,4.67,2.84,373.94919441015,16306.7,35.9221380210031,7386.9,18.85,0.06677810775,4.96990945591567,3
15,5,7.6,9.85393322486001,12.01,0,378.977571895752,14424.5,37.7385744298854,6624,28.01,0.0709428515,4.02492235949962,3
16,5,4.2,8.60871651293037,9.5,16.65,376.300411905169,13582.1,38.7091720397117,6498.8,29.13,0.0709428515,3.19374388453426,3
13.3,5,25,6.19758017293847,3.29,1.57,682.246289839674,5466.2,59.4903353495339,9832.3,10.82,0.07006522875,5.44058820349418,2
7,5,20,6.14491659829489,6.81,4.69,682.246289839674,5466.2,59.4903353495339,9832.3,10.28,0.07006522875,5.44058820349418,2
12.7,6,16.2,5.18362807307777,3.19,10.4,315.439376108944,2445.7,135.441131123452,7949.7,9.97,0.07837459675,2.25831795812724,2
5.7,6,17.7,3.85486705347928,4.75,0.23,342.619322280574,2665.3,156.540410118282,9451.2,9.64,0.07837459675,2.46981780704569,2
9.7,6,49.7,9.32094415818483,19.3,9,409.318946544134,11902.1,NaN,11132,16.16,0.07362088775,4.4497190922574,1
5.3,6,30.2,5.14975727583349,4.37,2.91,432.876425784542,12999.4,NaN,12309.7,14.42,0.07362088775,4.69041575982343,2
12,6,27.9,5.77667724561447,4,3.91,322.335229225724,5736.3,18.2290976189168,6897.5,14.52,0.0687857905,7.14142842854285,2
5.7,6,19.2,6.68954408012983,5.34,17.2,354.434761274907,7507.2,19.2717409696166,7638.1,12.37,0.0687857905,7.60920495189872,2
12,6,43,5.78446194559183,3.22,9.01,326.718533297393,3194.7,21.5939806427625,6439.9,18.26,0.07042926375,3.72827037646145,1
5.7,6,19.9,7.45318723768563,13.84,16.85,389.0269913515,3689.6,24.3987704608245,7286.5,14.73,0.07042926375,4.08656334834051,2
12,3,42,13.717871555019,36.25,22.58,569.405830669128,NaN,17.5185615847877,NaN,8.39,0.08531109875,7.4565407529229,1
4.7,3,26.6,12.1103261723209,33.66,NaN,567.064370243802,NaN,16.6793285236547,NaN,5.82,0.08531109875,7.49666592559652,2
13.7,3,31.4,9.96092365195116,26.13,22.51,192.566871501824,10297.4,0.316227766016838,4571.7,16.89,0.06806795375,6.46529195009785,1
6.7,3,43.5,6.46142399166004,13.38,9,195.312569999987,10820.4,0.316227766016838,4851.3,14.54,0.06806795375,6.58786763680024,1
11.3,3,12.7,4.96689037527506,13.66,2.46,205.180408421467,5693.2,0.447213595499958,912.3,25.62,0.05959096175,6.45755371638518,3
6.3,3,23.6,6.41326749792958,8.01,13.91,205.180408421467,5693.2,0.447213595499958,912.3,20.91,0.05959096175,6.45755371638518,2
12.7,3,20.7,7.72657750883274,8.55,11.62,55.5517776493246,2638.9,1.61245154965971,3818.6,24.01,0.069819982,4.83735464897913,2
5.3,3,26.9,8.60929730001235,37.36,16.54,60.3655530911463,2989.5,1.84390889145858,4432.6,25.38,0.069819982,5.16720427310553,2
13.3,6,28.1,5.91607978309962,4.9,3.44,74.0067564483136,2823.3,21.9840851526735,14548.2,21.25,0.07204511375,2.72029410174709,2
5.7,6,51.9,8.60523096726636,23.38,6.85,77.1945593937811,3100.8,23.1905153025973,15772.9,15.83,0.07204511375,2.81069386451104,1
11.7,6,29,7.7343390150678,6.41,3.35,0,373.8,0.774596669241483,2013.4,26.58,0.07035407175,0.547722557505166,2
5.7,6,34.6,8.2304313374209,20.71,2.56,0,403.1,0.774596669241483,2142.7,27.42,0.07035407175,0.547722557505166,1
11.7,4,23,8.71894489029493,7.52,14.91,115.273587607916,2605,3.24037034920393,10353,10.69,0.0827517635,1.14017542509914,2
7,4,37.2,8.16700679563817,20.4,20.92,119.360797584467,2927,3.78153408023781,11859.4,10.18,0.0827517635,1.18321595661992,1
4.3,6,7.7,5.83952052826257,7.7,8.43,2.23606797749979,646,0.316227766016838,1452.7,19.38,0.07700373375,0,3
5,6,50.1,8.30481787879782,12.03,19.42,2.23606797749979,646,0.316227766016838,1452.7,17.23,0.07700373375,0,1
11.7,1,41.9,7.08590149522275,10.18,7.24,172.35138525698,2347.1,9.03327183250897,4940.3,27.57,0.0754761335,4.30116263352131,1
6.3,1,29.6,6.90507060065283,9.23,8.69,151.429851746609,2176.8,8.19756061276768,4601.4,26.54,0.0754761335,4.08656334834051,2
12,1,10.9,7.21941825911202,10.04,11.67,717.323497454252,5033.1,6.44204936336256,5723.7,26.59,0.07012090075,7.19722168617863,3
6,1,13.2,7.30068489937759,18.35,3.98,717.323497454252,5033.1,6.44204936336256,5723.7,19.99,0.07012090075,7.19722168617863,3
11.7,4,12.8,4.8155996511338,1.93,4.2,0,8943.4,4.81663783151692,3524.5,27.42,0.070161082,5.83952052826257,3
7,4,25.4,13.2283785854503,11.98,10.2,0,9680.5,5.22494019104525,3690.5,25.81,0.070161082,6.02494813255683,2
10.7,4,26,5.91100668245266,3.83,0.55,0,344.5,1.30384048104053,1454.5,30.21,0.05805651225,0,2
6.3,4,33.4,6.50691939399898,8.09,17.73,0,375,1.37840487520902,1566,29.85,0.05805651225,0,1
11.7,4,22.6,8.28311535595153,11.14,5.59,35.1567916624939,742.7,7.83581520966389,2888.3,32.46,0.07397731775,0.316227766016838,2
5.7,4,33.7,6.45135644651572,10.16,7.77,37.4566416006561,833.1,9.71596624119289,3336.5,29.84,0.07397731775,0.316227766016838,1
11.3,5,17.6,7.21387551874857,11.05,3.22,420.366506753333,19358.6,54.3451929796923,10423,18.66,0.0709428515,3.11448230047949,2
4.7,5,27.3,8.35044908971967,19.58,17.69,432.877580847057,19762,55.7960572083727,10575.9,12.17,0.0709428515,3.22490309931942,2
12,5,23.9,6.14328902136307,7.96,8.8,437.600274222949,8450.3,65.0292241995858,6994.3,21.45,0.062883347,5.62138772902208,2
6,5,26.9,8.15107354892593,17.17,10.84,437.600274222949,8450.3,65.0292241995858,6994.3,21.21,0.062883347,5.62138772902208,2
